URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,71,-35,2.944444362654323,0.03272727269752066,13.75,0.2972727272727273,5.618909090909091,13.75,327,1100,5.996363636363636,0,7.335454545454546
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,63,-38,4.039999838400006,0.03541076482236435,8.305882352941177,0.2535410764872521,3.423769371771372,8.305882352941177,179,706,5.601983002832861,0,6.839943342776204
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,68,-37,3.387096664932366,0.03189300408241461,10.8,0.287037037037037,4.434814814814815,10.8,279,972,6.1440329218107,0,7.436213991769547
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,67,-28,2.435897373438529,0.04961832054755939,8.103092783505154,0.2290076335877863,3.332840166837176,8.103092783505154,180,786,5.624681933842239,0,6.78117048346056
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,61,-24,2.297297235208183,0.04233409606140263,10.65853658536585,0.2643020594965675,4.369135457944968,10.65853658536585,231,874,5.933638443935926,0,7.108695652173913
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,48,-24,2.999999875000005,0.03652968030969607,10.77049180327869,0.2572298325722983,4.411088654340395,10.77049180327869,169,657,5.789954337899544,0,7.024353120243531
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,30,-13,2.529411615916964,0.03769401322019066,9.02,0.2416851441241685,3.704674057649668,9.02,109,451,5.762749445676275,0,6.971175166297117
44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,3,-1,1.9999990000005,0.01652892548323202,20.16666666666667,0.2396694214876033,8.16253443526171,20.16666666666667,29,121,5.066115702479339,0,6.892561983471074
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,41,-14,2.037036961591224,0.06249999985532408,10.53658536585366,0.1574074074074074,4.277597109304426,10.53658536585366,68,432,5.340277777777778,0,6.766203703703703
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,70,-42,3.999999857142862,0.02609506055349948,12.47674418604651,0.2590866728797763,5.094332343570516,12.47674418604651,278,1073,5.574091332712023,0,6.860205032618826
